,true_labels,predicted_labels
280241,2,2
96315,0,0
280410,2,2
284975,2,2
379072,3,3
233281,2,2
77308,1,1
363221,2,2
247498,0,0
176734,1,1
235116,1,1
108461,1,1
209936,2,2
200980,1,1
300052,2,2
337562,2,2
11323,2,2
315686,1,1
270249,2,2
368705,2,2
152987,1,1
278766,2,2
341785,2,2
302113,0,0
118161,2,2
360910,2,2
262103,3,3
183295,2,2
211197,3,3
291065,1,1
142752,0,0
39714,2,2
84112,0,0
73914,1,1
354932,2,2
345937,2,2
287306,2,2
233570,3,3
367478,1,1
188156,0,0
400225,3,3
383843,1,1
68560,1,1
226563,1,0
312191,1,1
227856,2,2
174058,1,1
410792,2,2
301958,0,0
347354,3,3
175766,0,0
115672,3,3
28289,3,3
302807,1,1
296160,2,2
23315,2,2
118816,2,2
379550,1,0
138014,2,2
214707,2,2
60669,0,0
332287,2,2
139078,0,0
312804,2,2
9813,1,1
174560,2,2
147930,2,2
101887,0,0
398421,0,0
15190,2,2
241514,1,1
109098,2,2
249898,0,0
262966,0,0
21044,0,0
289847,0,0
194768,2,2
87277,0,0
340652,1,1
246673,2,2
406520,1,1
169453,2,2
37891,0,0
207634,0,0
294762,1,1
15399,3,3
115078,2,2
379081,3,3
249054,2,2
319210,2,2
154324,2,2
7505,2,2
34207,3,3
35283,0,0
234801,0,0
319677,2,2
60939,0,0
228867,2,2
259305,1,1
113574,1,1
230379,0,2
103143,2,2
163940,1,1
42238,1,1
239217,1,1
340153,0,0
49524,2,2
278953,2,2
37752,0,0
299246,2,2
121161,0,0
155526,0,0
309079,1,1
389404,2,2
61707,1,1
292814,2,2
802,0,0
277339,1,1
105080,0,0
174237,1,1
94043,2,1
38198,0,0
51624,0,1
406365,1,0
4335,0,0
40190,2,2
178655,2,2
157266,2,0
202705,2,2
248246,1,1
13137,0,0
366190,3,3
50631,0,0
81303,1,1
406829,1,1
142073,2,2
50662,0,0
283145,1,1
401939,1,1
105314,1,1
1277,1,1
73890,1,1
41961,1,1
397293,3,3
87447,0,0
45766,2,2
119341,2,2
200283,0,0
266064,3,3
153472,2,2
370879,0,0
5789,1,1
330311,0,0
247444,0,0
39508,1,1
408218,2,2
9996,1,1
234770,0,0
335703,1,1
358865,3,3
182707,2,2
324916,2,2
227952,2,2
367914,1,1
340780,1,1
241734,1,1
10148,1,1
381629,2,2
188979,1,1
241447,1,1
296689,0,2
231748,1,1
124614,0,1
412164,0,0
280733,2,2
171351,1,1
120350,0,0
375723,2,2
128057,0,0
381017,2,2
312387,2,2
274288,2,2
301613,0,0
194961,2,2
94677,2,2
168669,2,2
341378,2,2
370796,0,0
402464,2,2
314136,3,3
227605,2,2
368916,2,2
104472,3,3
201841,2,2
326690,0,0
99317,2,2
205571,2,2
12536,0,0
400167,3,3
142879,1,1
257883,2,2
288854,2,2
138444,2,2
154479,2,2
410453,0,0
290946,1,1
235802,2,2
18649,2,2
67813,2,2
125599,1,1
116186,0,0
134956,2,2
211518,0,0
413751,1,1
56855,0,0
202497,2,2
251141,2,2
11666,2,2
29177,0,0
260518,2,2
260805,2,2
127570,0,0
416042,2,2
181170,1,1
42240,1,1
402371,2,2
61896,1,1
246764,2,2
352853,0,0
7858,3,3
390280,0,0
11295,2,2
329476,3,3
162201,2,2
131044,2,2
44073,0,0
212536,0,0
217392,1,1
136496,1,1
88446,1,1
388625,2,2
303108,1,1
281879,0,0
382863,0,0
111070,2,2
252306,0,0
23357,2,2
24314,0,0
318706,2,2
412657,0,0
36452,2,2
257495,2,2
265938,3,3
157575,2,2
134495,2,2
368961,2,0
276917,0,0
349618,1,1
109872,1,1
154432,2,2
253359,1,1
227427,2,2
288811,2,2
40706,2,2
250425,1,1
210160,2,2
36936,2,2
29673,0,0
326201,0,0
288781,2,2
279981,2,2
322025,0,1
274178,2,2
84627,1,1
51767,0,0
244097,3,3
333926,0,0
345484,1,1
369120,2,2
296219,2,2
99163,2,2
338754,0,0
270744,2,2
69839,2,2
261377,2,2
68559,1,1
293928,0,0
125957,2,2
308748,1,1
63656,3,3
52623,1,1
319629,2,2
144144,3,2
56188,0,0
128198,0,0
274700,2,2
249245,3,3
188470,0,1
265940,3,3
193629,1,0
335847,1,1
329656,0,0
44110,0,0
204768,1,1
97447,1,1
305481,0,1
169029,2,2
156841,2,2
325851,3,3
257629,2,2
254306,2,2
141909,2,2
304790,0,1
338566,0,0
122264,1,1
405656,0,0
48310,1,1
14891,2,1
333966,0,0
203061,0,0
209075,1,1
147958,2,2
365190,2,2
410056,0,0
256577,1,1
349852,1,1
97093,1,1
354084,2,2
350591,2,2
267224,0,0
185896,1,1
225919,0,0
266040,3,3
420330,2,2
340446,0,0
285557,0,0
301376,0,0
135867,0,0
422253,3,3
250423,1,1
86149,2,2
143494,2,2
18941,2,2
205079,1,1
125393,1,1
47731,0,0
163901,1,1
395769,2,2
112009,0,0
18105,1,1
182036,2,2
96101,0,0
4424,0,0
236660,2,2
411145,2,2
9782,1,1
319612,2,2
78897,2,2
213333,1,1
403127,2,2
143785,2,2
113879,2,2
207389,0,0
199024,2,2
160272,1,1
157363,2,2
84415,1,1
268287,1,1
176541,1,1
123,0,0
112015,0,0
272740,0,0
9476,0,0
8067,3,3
347118,2,2
16879,0,0
173778,1,1
124957,0,0
86942,3,3
293520,0,1
387718,1,1
398787,1,1
193211,1,1
36249,2,2
104006,2,2
101023,0,0
325936,3,3
310204,0,0
252231,0,0
363879,0,0
272773,0,0
11993,3,3
236943,3,3
276125,0,0
53564,2,2
343062,3,3
91311,0,0
174626,2,2
101100,0,0
388072,1,1
199951,0,0
163309,0,0
401522,1,1
199816,0,0
108510,2,2
405327,0,0
403028,2,2
55316,3,3
64360,0,0
11803,2,2
